Date,MMM,ABT,ABBV,ABMD,ACN
2000-01-03,28.05650329589844,9.59566593170166,,18.25,
2000-01-04,26.94168472290039,9.321495056152344,,17.8125,
2000-01-05,27.72204780578613,9.304364204406738,,18.0,
2000-01-06,29.951698303222656,9.62993049621582,,18.03125,
2000-01-07,30.54628562927246,9.732743263244627,,17.9375,
2000-01-10,30.39764976501465,9.664203643798828,,20.5,
2000-01-11,29.877389907836914,9.527117729187012,,19.8125,
2000-01-12,29.951698303222656,9.384541511535645,,19.59375,
2000-01-13,29.951698303222656,9.298443794250488,,21.0,
2000-01-14,29.524362564086914,9.50507640838623,,21.375,
2000-01-18,28.874042510986328,9.298443794250488,,26.0,
2000-01-19,29.37570953369141,9.109031677246094,,24.375,
2000-01-20,28.27946662902832,8.83351993560791,,23.5,
2000-01-21,28.22372817993164,8.592450141906737,,29.4375,
2000-01-24,27.573415756225586,8.265284538269043,,31.375,
2000-01-25,27.16463851928711,8.161969184875487,,28.75,
2000-01-26,28.63250732421875,8.17918872833252,,28.875,
2000-01-27,28.61392593383789,8.4891357421875,,29.0,
2000-01-28,27.42477798461914,8.781866073608397,,29.4375,
2000-01-31,27.833538055419922,8.97127914428711,,29.25,
2000-02-01,27.98217582702637,9.057374954223633,,28.75,
2000-02-02,27.49909400939941,9.109031677246094,,28.125,
2000-02-03,27.25753593444824,9.160693168640137,,26.75,
2000-02-04,26.477161407470703,9.487858772277832,,27.5625,
2000-02-07,26.04980087280273,9.315667152404783,,29.5625,
2000-02-08,26.068397521972656,9.401758193969727,,28.375,
2000-02-09,26.04980087280273,9.935564041137695,,27.375,
2000-02-10,25.56672477722168,9.67727279663086,,29.4375,
2000-02-11,24.65627479553223,9.367317199707033,,29.5,
2000-02-14,24.6376895904541,9.660051345825195,,29.25,
2000-02-15,26.49575042724609,9.67727279663086,,32.5,
2000-02-16,26.254207611083984,9.556739807128906,,35.375,
2000-02-17,26.64438056945801,9.436201095581056,,41.3125,
2000-02-18,26.03122520446777,8.988495826721191,,40.75,
2000-02-22,26.79302978515625,9.1951322555542,,36.9375,
2000-02-23,27.62109184265137,8.850741386413574,,35.5546875,
2000-02-24,27.228384017944336,8.747426986694336,,35.625,
2000-02-25,25.657533645629886,8.83351993560791,,37.625,
2000-02-28,25.86321830749512,9.126253128051758,,37.0,
2000-02-29,26.386852264404297,9.091814041137695,,36.96875,
2000-03-01,25.769716262817386,9.315667152404783,,33.625,
2000-03-02,25.75102996826172,9.229570388793944,,32.3125,
2000-03-03,26.77956581115723,8.936840057373047,,33.875,
2000-03-06,26.10633850097656,8.609674453735353,,34.0625,
2000-03-07,24.75988006591797,8.161969184875487,,32.125,
2000-03-08,24.70378875732422,8.540793418884277,,29.5,
2000-03-09,24.21755599975586,8.609674453735353,,30.625,
2000-03-10,24.38585662841797,8.523571968078612,,30.75,
2000-03-13,23.63783264160156,8.420258522033691,,28.3125,
2000-03-14,23.67523765563965,8.575229644775389,,26.34375,
2000-03-15,24.68507194519043,8.954058647155762,,22.875,
2000-03-16,26.349445343017575,9.50507640838623,,23.0,
2000-03-17,25.69491004943848,9.229570388793944,,25.75,
2000-03-20,26.03153991699219,9.3328857421875,,23.0,
2000-03-21,27.060077667236328,9.281228065490724,,24.25,
2000-03-22,25.73231506347656,9.453417778015137,,27.125,
2000-03-23,26.03153991699219,9.315667152404783,,25.3125,
2000-03-24,27.190998077392575,9.26400661468506,,24.0625,
2000-03-27,26.517749786376953,9.160693168640137,,22.5625,
2000-03-28,26.59254646301269,9.3328857421875,,23.0,
2000-03-29,26.21853828430176,9.608396530151367,,21.96875,
2000-03-30,26.62995338439941,9.78058910369873,,19.0625,
2000-03-31,26.49905586242676,9.69449520111084,,20.25,
2000-04-03,27.49018859863281,10.193852424621582,,19.125,
2000-04-04,27.808115005493164,10.86540412902832,,18.6875,
2000-04-05,27.26578712463379,10.228289604187012,,18.125,
2000-04-06,27.93902015686035,10.417701721191406,,20.75,
2000-04-07,27.4153995513916,10.090530395507812,,20.0,
2000-04-10,27.752010345458984,10.211066246032717,,20.125,
2000-04-11,28.55613899230957,10.486580848693848,,19.4375,
2000-04-12,28.313032150268555,10.971830368041992,,16.75,
2000-04-13,28.35044288635254,10.850692749023438,,16.5625,
2000-04-14,27.17229461669922,10.193074226379396,,15.0,
2000-04-17,26.891773223876953,10.435352325439453,,13.875,
2000-04-18,26.891773223876953,10.573797225952148,,16.03125,
2000-04-19,27.060077667236328,10.62571620941162,,16.75,
2000-04-20,27.60240936279297,10.867997169494627,,17.71875,
2000-04-24,29.1358699798584,11.092974662780762,,16.9375,
2000-04-25,28.069923400878906,11.00644302368164,,16.8125,
2000-04-26,26.61125946044922,10.798775672912598,,17.375,
2000-04-27,26.162437438964844,10.798775672912598,,17.0,
2000-04-28,25.919322967529297,10.643019676208496,,18.5625,
2000-05-01,26.012828826904297,10.539193153381348,,17.34375,
2000-05-02,26.012828826904297,10.573797225952148,,17.375,
2000-05-03,25.67621421813965,10.418049812316896,,17.625,
2000-05-04,25.564022064208984,10.314216613769533,,19.625,
2000-05-05,25.938032150268555,10.504582405090332,,21.4375,
2000-05-08,26.12504005432129,10.74686050415039,,21.875,
2000-05-09,25.73231506347656,10.798775672912598,,20.5,
2000-05-10,25.71361541748047,10.677634239196776,,20.125,
2000-05-11,25.71361541748047,10.469966888427734,,20.15625,
2000-05-12,25.395708084106445,10.244994163513184,,19.8125,
2000-05-15,25.71361541748047,10.78147029876709,,19.9375,
2000-05-16,26.94786834716797,10.694941520690918,,19.59375,
